Date of Purchase,Event,Purchased
2024-04-15,FIREBIRD,220.0
2024-04-15,SCHEHERAZADE,180.0
2024-04-16,FIREBIRD,320.0
2024-04-16,SCHEHERAZADE,180.0
2024-04-17,FIREBIRD,320.0
2024-04-17,SCHEHERAZADE,280.0
2024-04-18,FIREBIRD,320.0
2024-04-18,SCHEHERAZADE,430.0
2024-04-20,FIREBIRD,420.0
2024-04-20,SCHEHERAZADE,430.0
2024-04-21,FIREBIRD,420.0
2024-04-21,SCHEHERAZADE,430.0
2024-04-22,FIREBIRD,420.0
2024-04-22,SCHEHERAZADE,480.0
2024-04-24,FIREBIRD,540.0
2024-04-24,SCHEHERAZADE,480.0
2024-04-29,FIREBIRD,740.0
2024-04-29,SCHEHERAZADE,680.0
2024-04-30,FIREBIRD,895.0
2024-04-30,SCHEHERAZADE,700.0
2024-05-04,FIREBIRD,915.0
2024-05-04,SCHEHERAZADE,700.0
2024-05-05,FIREBIRD,1065.0
2024-05-05,SCHEHERAZADE,700.0
2024-05-06,FIREBIRD,1125.0
2024-05-06,SCHEHERAZADE,760.0
2024-05-10,FIREBIRD,1125.0
2024-05-10,SCHEHERAZADE,760.0
2024-05-16,FIREBIRD,1125.0
2024-05-16,SCHEHERAZADE,820.0
2024-05-17,FIREBIRD,1155.0
2024-05-17,SCHEHERAZADE,840.0
2024-05-18,FIREBIRD,1155.0
2024-05-18,SCHEHERAZADE,870.0
2024-05-20,FIREBIRD,1170.0
2024-05-20,SCHEHERAZADE,870.0
2024-05-26,FIREBIRD,1180.0
2024-05-26,SCHEHERAZADE,870.0
2024-05-27,FIREBIRD,1180.0
2024-05-27,SCHEHERAZADE,1020.0
2024-05-29,FIREBIRD,1180.0
2024-05-29,SCHEHERAZADE,1080.0
2024-05-30,FIREBIRD,1180.0
2024-05-30,SCHEHERAZADE,1190.0
2024-05-31,FIREBIRD,1180.0
2024-05-31,SCHEHERAZADE,1197.5
2024-06-02,FIREBIRD,1240.0
2024-06-02,SCHEHERAZADE,1657.5
2024-06-03,FIREBIRD,1366.0
2024-06-03,SCHEHERAZADE,1720.5
2024-06-04,FIREBIRD,1366.0
2024-06-04,SCHEHERAZADE,1770.5
2024-06-05,FIREBIRD,1376.0
2024-06-05,SCHEHERAZADE,1870.5
2024-06-06,FIREBIRD,1376.0
2024-06-06,SCHEHERAZADE,1870.5
2024-06-07,FIREBIRD,1376.0
2024-06-07,SCHEHERAZADE,1920.5
2024-06-08,FIREBIRD,1377.0
2024-06-08,SCHEHERAZADE,1950.5
2024-06-09,FIREBIRD,1475.0
2024-06-09,SCHEHERAZADE,2025.5
2024-06-10,FIREBIRD,1636.0
2024-06-10,SCHEHERAZADE,2295.5
2024-06-11,FIREBIRD,1636.0
2024-06-11,SCHEHERAZADE,2475.5
2024-06-12,FIREBIRD,1826.0
2024-06-12,SCHEHERAZADE,2635.5
2024-06-13,FIREBIRD,1826.0
2024-06-13,SCHEHERAZADE,2765.5
2024-06-14,FIREBIRD,2236.0
