Customer Input,Source Saved As
Social Media,Social Media
Flyer/Poster,Flyer/Poster
Previous BFO Event,Previous BFO Event
Word of Mouth,Word of Mouth
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)","Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)"
Advertisement,Advertisement
Other,Other
BFO Newsletter,BFO Newsletter
Newspaper,Newspaper
BFO Newsletter,BFO Newsletter
Previous BFO Event,Previous BFO Event
Word of Mouth,Word of Mouth
Other,Other
Multiple,Multiple
Social Media,Social Media
Newspaper,Newspaper
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)","Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)"
Flyer/Poster,Flyer/Poster
NEC,NEC
,
AI,AI
