How did you hear about this event? (Buyer),Ticket Type,Ticket Net Proceeds,Order ID,Average Ticket Price,How did you hear about this event? (Multi-Reason)
Word of Mouth,Premium,214.52,1,214.52,"[""My kid's the conductor :)""]"
Word of Mouth,Pay What You Can,42.8,1,42.8,['Invited by a performer ']
Word of Mouth,Other,259.98,1,259.98,['Family and Donor']
Word of Mouth,Pay What You Can,26.5,1,26.5,['One of the performing artists ']
Word of Mouth,Other,41.7,1,41.7,['Friend']
Word of Mouth,Pay What You Can,42.8,2,21.4,['Friend']
Word of Mouth,Pay What You Can,53.0,1,53.0,['Friend ']
Word of Mouth,Pay What You Can,31.6,1,31.6,['Friend in the orchestra']
Word of Mouth,Other,156.0,1,156.0,['Friend recommended ']
Word of Mouth,Pay What You Can,0.0,1,0.0,['Person in performance ']
Word of Mouth,Pay What You Can,56.0,1,56.0,"[""Friend's invitation""]"
Word of Mouth,Pay What You Can,32.6,1,32.6,['From my friend Sergio Munoz Leiva who is violist']
Word of Mouth,Pay What You Can,33.599999999999994,1,33.599999999999994,['orchestra member']
Word of Mouth,Pay What You Can,0.0,1,0.0,['Husband is in the orchestra ']
Word of Mouth,Pay What You Can,0.0,1,0.0,['My friend is the conductor. Alyssa Wang! I am a dancer with Boston Ballet and love supporting the symphony when I can! ']
Word of Mouth,Pay What You Can,22.4,1,22.4,['Musician in orchestra']
Word of Mouth,Other,156.0,1,156.0,['I know the Maestra']
Word of Mouth,Other,100.0,1,100.0,"[""I'm Eric's mom.""]"
Word of Mouth,Pay What You Can,42.8,1,42.8,"[""I'm a member of the orchestra""]"
Word of Mouth,Other,364.0,1,364.0,['Nicholas Brown']
Word of Mouth,Other,104.0,1,104.0,['Board member']
Word of Mouth,Other,93.8,1,93.8,['Orchestra member']
Word of Mouth,Pay What You Can,63.2,1,63.2,['The co-founders themselves']
Word of Mouth,Other,93.8,1,93.8,['We know a member of the orchestra']
Word of Mouth,Pay What You Can,0.0,1,0.0,['Bfo member']
Word of Mouth,Other,104.0,1,104.0,['Supporter of David Feltner']
Word of Mouth,Premium,697.19,5,139.43800000000002,['Word of Mouth']
Word of Mouth,Regular,488.85,6,81.47500000000001,['Word of Mouth']
Word of Mouth,Pay What You Can,22.4,1,22.4,['coworker']
Word of Mouth,Other,2333.92,23,101.47478260869566,['Word of Mouth']
Word of Mouth,Pay What You Can,10.98,1,10.98,['following the conductor']
Word of Mouth,Pay What You Can,11.2,1,11.2,['musician']
Word of Mouth,Pay What You Can,5.49,1,5.49,['BFO Musician']
Word of Mouth,Premium,107.26,1,107.26,['Alyssa Wang is our niece! Word of mouth.']
Word of Mouth,Pay What You Can,31.6,1,31.6,['musician in orchestra']
Word of Mouth,Pay What You Can,0.0,1,0.0,['BFO musician']
Word of Mouth,Pay What You Can,16.3,1,16.3,['A friend ']
Word of Mouth,Pay What You Can,21.4,1,21.4,['BFO artist']
Word of Mouth,Pay What You Can,1828.46,96,19.046458333333334,['Word of Mouth']
Social Media,Other,906.3,11,82.39090909090909,"['Social Media (Facebook, Instagram, TikTok, LinkedIn)']"
Social Media,Premium,107.26,1,107.26,"['Social Media (Facebook, Instagram, TikTok, LinkedIn)']"
Social Media,Pay What You Can,33.599999999999994,1,33.599999999999994,['Facebook ']
Social Media,Other,104.0,1,104.0,['Facebook']
Social Media,Pay What You Can,2965.18,126,23.5331746031746,"['Social Media (Facebook, Instagram, TikTok, LinkedIn)']"
Social Media,Regular,65.18,2,32.59,"['Social Media (Facebook, Instagram, TikTok, LinkedIn)']"
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,21.4,1,21.4,['Online ']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Other,1050.98,11,95.54363636363637,"['Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)']"
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,1068.14,36,29.67055555555556,"['Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)']"
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Regular,65.18,1,65.18,"['Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)']"
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,22.4,1,22.4,['Looked up ']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,31.6,1,31.6,['searched BOSTix']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,733.98,29,25.309655172413795,['BFO Website']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Pay What You Can,26.5,1,26.5,['BOSTix']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Regular,456.26000000000005,4,114.06500000000001,['BFO Website']
"Online Events Calendar (The Boston Calendar, ArtsBoston, etc.)",Other,844.74,8,105.5925,['BFO Website']
Previous BFO Event,Pay What You Can,1718.26,56,30.683214285714286,['Previous BFO Event']
Previous BFO Event,Premium,429.04,4,107.26,['Previous BFO Event']
Previous BFO Event,Regular,488.85,7,69.83571428571429,['Previous BFO Event']
Previous BFO Event,Other,2342.03,16,146.376875,['Previous BFO Event']
Previous BFO Event,Other,104.0,1,104.0,['Previous subscriber']
Previous BFO Event,Pay What You Can,63.2,1,63.2,['I attended—and loved—a previous concert']
BFO Newsletter,Regular,456.26000000000005,7,65.18,['BFO Newsletter']
