Event,Date of Purchase,Ticket Net Proceeds
FIREBIRD,2024-04-21,420.0
FIREBIRD,2024-04-28,120.0
FIREBIRD,2024-05-05,525.0
FIREBIRD,2024-05-12,60.0
FIREBIRD,2024-05-19,30.0
FIREBIRD,2024-05-26,25.0
FIREBIRD,2024-06-02,60.0
FIREBIRD,2024-06-09,235.0
FIREBIRD,2024-06-16,761.0
FIREBIRD,2024-06-23,430.0
FIREBIRD,2024-06-30,655.0
FIREBIRD,2024-07-07,1017.0
FIREBIRD,2024-07-14,4585.639999999999
SCHEHERAZADE,2024-04-21,430.0
SCHEHERAZADE,2024-04-28,50.0
SCHEHERAZADE,2024-05-05,220.0
SCHEHERAZADE,2024-05-12,60.0
SCHEHERAZADE,2024-05-19,110.0
SCHEHERAZADE,2024-06-02,787.5
SCHEHERAZADE,2024-06-09,368.0
SCHEHERAZADE,2024-06-16,840.0
SCHEHERAZADE,2024-06-23,1180.0
SCHEHERAZADE,2024-06-30,496.57
SCHEHERAZADE,2024-07-07,632.0
SCHEHERAZADE,2024-07-14,741.06
SCHEHERAZADE,2024-07-21,1438.5
SCHEHERAZADE,2024-07-28,5154.639999999999
Beethoven 5,2025-03-23,1808.5500000000002
Beethoven 5,2025-04-06,107.26
Beethoven 5,2025-04-13,294.0
Beethoven 5,2025-04-20,130.36
Beethoven 5,2025-04-27,65.18
Beethoven 5,2025-05-04,97.77000000000001
Beethoven 5,2025-05-18,149.32999999999998
Beethoven 5,2025-05-25,375.41
Beethoven 5,2025-06-01,195.54000000000002
Beethoven 5,2025-06-08,398.94
Beethoven 5,2025-06-15,945.99
Beethoven 5,2025-06-22,1036.02
Beethoven 5,2025-06-29,6336.67
Beethoven 5,2025-07-06,2273.52
Beethoven 5,2025-07-13,4389.98
Tchaikovsky 5,2025-03-23,363.84000000000003
Tchaikovsky 5,2025-04-06,0.0
Tchaikovsky 5,2025-04-13,135.52
Tchaikovsky 5,2025-04-20,65.18
Tchaikovsky 5,2025-05-04,32.59
Tchaikovsky 5,2025-05-18,107.26
Tchaikovsky 5,2025-05-25,667.25
Tchaikovsky 5,2025-06-01,193.48000000000002
Tchaikovsky 5,2025-06-08,97.77000000000001
Tchaikovsky 5,2025-06-15,143.58
Tchaikovsky 5,2025-06-22,339.79
Tchaikovsky 5,2025-06-29,481.98
Tchaikovsky 5,2025-07-06,715.38
Tchaikovsky 5,2025-07-13,1278.33
Tchaikovsky 5,2025-07-20,2492.4
Tchaikovsky 5,2025-07-27,2328.15
Tchaikovsky 5,2025-08-03,5411.48
